Переменная|Англ.|Русс.|Укр.
common.mail.manager_message.subject||Ольга от MixCart|Ольга від MixCart
Оман|Oman|Оман|Оман
frontend.views.user.default.online_service_two|Online service for automatic purchase|Онлайн-сервис для автоматизации закупок|Онлайн-сервіс для автоматизації закупівель
Оператор|Operator|Оператор|оператор
frontend.views.client.tutorial.describing|MixCart system capability description|Описание возможностей системы MixCart|Опис можливостей системи MixCart
frontend.views.client.tutorial.describing_two|MixCart system capability description|Описание возможностей системы MixCarts|Опис можливостей системи MixCarts
frontend.views.request.payment|Payment|Оплата|оплата
franchise.views.finance.payd|Paid|Оплачено|Оплачено
frontend.views.layouts.header.messages|Notices:|Оповещений:|оповіщень:
market.controllers.site.you_vendor_two|Get over yourself, you are the supplier!|Опомнитесь, вы и есть поставщик!|Схаменіться, ви і є постачальник!
Организация|Organization|Организация|організація
franchise.controllers.no_access|Company blocked the access to own account|Организация закрыла доступ к своему кабинету|Організація закрила доступ до свого кабінету
common.models.org_not_found|Company is not found|Организация не найдена|Організація не знайдено
Орехи|Nuts|Орехи|горіхи
Орехи и сухофрукты|Nuts and dried fruits|Орехи и сухофрукты|Горіхи і сухофрукти
ореховое масло (из грецкого ореха)|Walnut oil|Ореховое масло (из грецкого ореха)|Горіхове масло (з волоського горіха)
frontend.views.site.brookwin|Founder: Brookwin.|Основатель: Brookwin.|Засновник: Brookwin.
frontend.views.site.index.set_request_two|leave a request |Оставить заявку|Залишити заявку
frontend.views.request.enter_comment|Give your feedback on the request |Оставьте комментарий по заявке|Залиште коментар по заявці
frontend.views.order.var4|Stay|Остаться|залишитися
Остров Буве|Buve Island|Остров Буве|острів Буве
Остров Мэн|Isle Of Man|Остров Мэн|острів Мен
Остров Норфолк|Norfolk Island|Остров Норфолк|острів Норфолк
Остров Рождества|Christmas Island|Остров Рождества|острів Різдва
Остров Херд и острова Макдональд|Heard Island and McDonald Islands|Остров Херд и острова Макдональд|Острів Херд і острови Макдональд
Острова Кайман|Cayman Islands|Острова Кайман|Кайманові острови
Острова Кука|Cook Islands|Острова Кука|Острови Кука
Острова Теркс и Кайкос|Turks and Caicos Islands|Острова Теркс и Кайкос|Острови Теркс і Кайкос
Осьминог|Octopus|Осьминог|восьминіг
common.models.responsible|Essential|Ответственный|відповідальний
frontend.views.site.faq_two|Answers to questions|Ответы на вопросы|Відповіді на запитання
frontend.views.request.vendors_responses|Feedback from suppliers|Отклики поставщиков|відгуки постачальників
frontend.views.request.zero|Feedback to request 0 |Откликов по заявке 0|Відгуків по заявці 0
frontend.views.order.rejected|Declined|Отклонен|відхилений
common.models.vendor_canceled|Declined by the supplier|Отклонен поставщиком|відхилений постачальником
api.common.models.off_two|Disconnected|Отключен|відключений
franchise.views.site.request.opened|Opened|Открыта|відкрита
frontend.views.order.new_window|Open PDF with order in new window|Открыть PDF с заказом в новом окне|Відкрити PDF із замовленням в новому вікні
frontend.views.vendor.excellent|Excellent. Now you need only to choose products for your catalogue putting marks in columns<strong>Add</strong>.|Отлично. Теперь выберите товары для вашего каталога, просто проставив галочки в колонке <strong>Добавить</strong>.|Відмінно. Тепер виберіть товари для вашого каталогу, просто проставивши галочки в колонці <strong> Додати </ strong>.
franchise.views.catalog.newcatalog.perfect|Excellent. Now you need only to choose products for your catalogue putting marks in columns<strong>Add</strong>|Отлично. Теперь выберите товары для каталога, просто проставив галочки в колонке <strong>Добавить</strong>|Відмінно. Тепер виберіть товари для каталогу, просто проставивши галочки в колонці <strong> Додати </ strong>
frontend.views.vendor.excellent_two|Excellent. Now you need only to set prices for products in new catalogue.<br>You can do this by adding fixed discount, discount rate or simply new price.|Отлично. Теперь осталось установить цены на товары в новом каталоге.<br>Это можно сделать задав фиксированную скидку, процент скидки или просто указав новую цену.|Відмінно. Тепер залишилося встановити ціни на товари в новому каталозі. <br> Це можна зробити поставивши фіксовану знижку, відсоток знижки або просто вказавши нову ціну.
common.mail.manager_message.farewell||Отличного дня,|Відмінного дня,
common.models.deferred_payment|Deferred payment |Отложенный платеж|відкладений платіж
franchise.views.site.request.deferred|Deferred payment (days)|Отложенный платеж(дней)|Відкладений платіж (днів)
franchise.views.site.request.deferred_payment|Deferred payment (days)|Отложенный платеж(дней):|Відкладений платіж (днів):
frontend.views.vendor.cancel_twelwe|Cancel|Отмена|Відміна
frontend.views.order.canceled_two|Canceled|Отменен|скасовано
frontend.views.vendor.canc_by_cust|Canceled by Customer|Отменен заказчиком|скасовано замовником
common.models.client_canceled|Declined by the customer|Отменен клиентом|скасовано клієнтом
frontend.views.vendor.canc_by_vendor|Canceled by Supplier|Отменен поставщиком|скасовано постачальником
frontend.views.settings.cancel_two|Cancel|Отменить|Скасувати
frontend.views.order.cancel_order|Cancel order|Отменить заказ|Скасувати замовлення
frontend.views.vendor.cancel_thirteen|Undo changes|Отменить изменения|відмінити зміни
frontend.views.order.cancel_eight|Cancellation… |Отменяем...|Скасовуємо ...
common.mail.layouts.unsubscribe||Отписаться|Відмовитися
frontend.views.vendor.send_two|Send|Отправить|Відправити
frontend.views.vendor.invite_client_two|Send an invitation|Отправить приглашение|відправити запрошення
frontend.views.client.suppliers.var10|Send the invitation again?|Отправить приглашение повторно?|Надіслати запрошення повторно?
frontend.views.order.send_message_two|Send a message|Отправить сообщение|Надіслати повідомлення
frontend.views.request.sent|Sent!|Отправлено!|Відправлено!
frontend.views.user.default.sending|Sending…|Отправляем..|Відправляємо ..
frontend.views.client.suppliers.sending|Sending|Отправляем...|Відправляємо ...
common.models.official_email_two|Official email|Официальный email|Офіційний email
franchise.views.organization.official_email_two|Official email|Официальный email:|Офіційний email:
frontend.views.order.make_all|Arrange all orders|Оформить все заказы|Оформити всі замовлення
frontend.views.order.make_order_two|Arrange order|Оформить заказ|Оформити замовлення
frontend.views.site.rating|Estimates and comments|Оценки и отзывы|Оцінки і відгуки
common.mail.accept_restaurant_invite.ratings|Estimates and comments|Оценки, отзывы|Оцінки, відгуки
frontend.views.order.basket_empty_two|Clear Cart|Очистить корзину|Очистити корзину
frontend.views.order.clean_basket|Cart cleaning|Очистка корзины|очищення кошика
frontend.views.vendor.error_two|Error|Ошибка|Помилка
Ошибка загрузки каталога<br>|Error loading directory <br>|Ошибка загрузки каталога<br>|Помилка завантаження каталогу <br>
frontend.controllers.vendor.saving_error_eight|Failed to load the file, please see instruction on catalogue loading<br>|Ошибка загрузки файла, посмотрите инструкцию по загрузке каталога<br>|Помилка завантаження файлу, подивіться інструкцію по завантаженню каталогу <br>
frontend.controllers.client.saving_error_two|Failed to save, try to save again|Ошибка сохранения|Помилка збереження
frontend.controllers.vendor.saving_error_three|Failed to save, please repeat|Ошибка сохранения, повторите действие|Помилка збереження, повторіть дію
Ошибка!|Error!|Ошибка!|Помилка!
frontend.controllers.client.wrong_measure|Error: <strong>[Multiplicity]</strong> of product in wrong format|Ошибка: <strong>[Кратность]</strong> товара в неверном формате|Помилка: <strong> [Кратність] </ strong> товара в невірному форматі
frontend.controllers.client.wrong_price|Error:  <strong>[Price]</strong> in wrong format!|Ошибка: <strong>[Цена]</strong> в неверном формате!|Помилка: <strong> [Ціна] </ strong> в невірному форматі!
frontend.controllers.client.empty_field|Error: empty field <strong>[Product]</strong>!|Ошибка: Пустое поле  <strong>[Продукт]</strong>!|Помилка: Пусте поле <strong> [Продукт] </ strong>!
frontend.controllers.client.empty|Error: Empty field <strong>[Unit of measure]</strong>!|Ошибка: Пустое поле <strong>[Единица измерения]</strong>!|Помилка: Пусте поле <strong> [Одиниця виміру] </ strong>!
market.views.site.index.show_more|Show again|ПОКАЗАТЬ ЕЩЕ|ПОКАЗАТИ ЩЕ
market.views.layouts.header.vendors|Suppliers|ПОСТАВЩИКИ|ПОСТАЧАЛЬНИКИ
frontend.views.user.default.continue|CONTINUE|ПРОДОЛЖИТЬ|ПРОДОВЖИТИ
ПТИЦА и ЯЙЦА|poultry & eggs|ПТИЦА и ЯЙЦА|ПТАХ і ЯЙЦЯ
frontend.views.site.pavel|Pavel Kravchenko|Павел Кравченко|Павло Кравченко
Пакеты|Packets|Пакеты|пакети
Пакистан|Pakistan|Пакистан|Пакистан
Палау|Palau|Палау|Палау
Палестинская территория, оккупированная|The Palestinian territory, occupied|Палестинская территория, оккупированная|Палестинська територія, окупована
пальмовое масло|Palm oil|Пальмовое масло|Пальмова олія
Панама|Panama|Панама|Панама
Панировочные сухари|Bread crumbs|Панировочные сухари|Панірувальні сухарі
franchise.views.site.folder|Folder|Папка|Папка
Папский Престол (Государство — город Ватикан)|The Holy See (Vatican City State)|Папский Престол (Государство — город Ватикан)|Папський Престол (Держава - місто Ватикан)
Папуа-Новая Гвинея|"Papua New Guinea
"|Папуа-Новая Гвинея|Папуа Нова Гвінея
Парагвай|Paraguay|Парагвай|Парагвай
frontend.views.user.default.pass_two|password|Пароль|пароль
api.modules.v1.modules.mobile.components.notifications.pass_changed|Your MixCart Account password has been changed.|Пароль Вашей учетной записи в системе MixCart изменен. |Пароль Вашого облікового запису в системі MixCart змінений.
frontend.views.client.suppliers.partner|Partner|Партнер|Партнер
frontend.views.client.suppliers.not_set|Partner<br>Catalogue is not appointed|Партнер<br> Каталог не назначен|Партнер <br> Каталог не призначено
common.models.partnership|Partnership|Партнерство|партнерство
Пельмени, Дим Самы, Вонтоны и Равиоли|Pelmeni, dim sums, wontons, ravioli|Пельмени, Дим Самы, Вонтоны и Равиоли|Пельмені, Дим Сами, вонтонов і Равіолі
Пельмени, Хинкали, Вареники|Pelmeni, khinkali, dumplings|Пельмени, Хинкали, Вареники|Пельмені, Хінкалі, Вареники
franchise.views.anal.first_orders|First orders|Первые заказы|перші замовлення
frontend.views.site.first_market|The first online market in Russia. All purchasers in Russia will see and order your products. If desired you can hide your products from common access. |Первый онлайн рынок в России. Ваши продукты увидят все закупщики России, и смогут сделать заказ. При желании вы можете скрыть  свои продукты из общего доступа.|Перший онлайн ринок в Росії. Ваші продукти побачать всі закупівельники Росії, і зможуть зробити замовлення. При бажанні ви можете приховати свої продукти із загального доступу.
franchise.views.organization.first_user|First user (manager)|Первый пользователь (Менеджер)|Перший користувач (Менеджер)
frontend.views.order.guides.rename_two|Rename|Переименовать|перейменувати
frontend.views.order.guides.rename|Rename template|Переименовать шаблон|перейменувати шаблон
frontend.views.site.see_anal|"Go to ""Analytics"". Here you can see analytics as per definite customer, supplied products or your managers. In such a way operation dynamics of your managers and customers will be transparent to you. "|"Перейдите в раздел ""аналитика"". Вы можете видеть аналитику по конкретному клиенту, по поставляемым продуктам или по вашим менеджерам. Таким образом вы сможете прозрачно понимать, динамику работы своих менеджеров и клиентов."|"Перейдіть в розділ ""аналітика"". Ви можете бачити аналітику по конкретному клієнтові, по поставляється продуктам або по вашим менеджерам. Таким чином ви зможете прозоро розуміти, динаміку роботи своїх менеджерів і клієнтів."
frontend.views.site.my_clients|"Go to ""My customers"" and invite your customer in system MixCart. Then you can regulate your prices for one or another customer in ""My catalogues"". "|"Перейдите в раздел ""мои клиенты"", пригласите ваших клиентов в систему MixCart. Далее вы сможете регулировать цены для тех или иных клиентов в разделе ""мои каталоги""."|"Перейдіть в розділ ""мої клієнти"", запросіть ваших клієнтів в систему MixCart. Далі ви зможете регулювати ціни для тих чи інших клієнтів в розділі ""мої каталоги""."
common.mail.franchisee_associate_added.go|Go to|Перейти|Перейти
franchise.views.organization.go_to_two|Go to the Company’s online area under your personal account|Перейти в ЛК организации под своей учеткой|Перейти в ЛК організації під власной учеткой
common.mail.request_set_responsible.to_request|Go to request|Перейти к заявке|Перейти до заявки
frontend.widgets.cart.views.go_to|Proceed to check out|Перейти к оформлению|Перейти до оформлення
Перепелка|Quail|Перепелка|перепелиця
frontend.views.vendor.var15|Restate prices in the catalogue?|Пересчитать цены в каталоге?|Перерахувати ціни в каталозі?
Переходное Исламское Государство Афганистан||Переходное Исламское Государство Афганистан|Перехідний Ісламська Держава Афганістан
Перец|Pepper|Перец|перець
franchise.views.finance.period|Statement period|Период для выписки|Період для виписки
frontend.views.request.order_frequency|Order frequency:|Периодичность заказа:|Періодичність замовлення:
Перу|Peru|Перу|Перу
Перчатки|Gloves|Перчатки|рукавички
Печенье|Cookies|Печенье|печиво
Пиво и сидр|Beer and cider |Пиво и сидр|Пиво і сидр
Пивоваренный солод|Brewers malt|Пивоваренный солод|пивоварний солод
backend.controllers.client.sent||Письмо со сменой пароля выслано на почту|Лист зі зміною пароля вислано на пошту
Питкерн|Pitcairn|Питкерн|Піткерн
пихтовое масло|Fir oil|Пихтовое масло|ялицеве ​​масло
Пицца и тесто|Pizza and dough|Пицца и тесто|Піца і тісто
Пищевые добавки|Food additives|Пищевые добавки|Харчові добавки
franchise.views.finance.plug|Connection charge:|Плата за подключение:|Плата за підключення:
Платежи|Payments|Платежи|платежі
frontend.views.vendor.mon|Mon|Пн|Пн
frontend.views.request.no_new|There are no new requests according to these searching parameters. |По текущим параметрам поиска, новых заявок нет|За поточними параметрами пошуку, нових заявок немає
frontend.views.user.default.pass_repeat|Repeat password|Повторите пароль|Повторіть пароль
frontend.views.order.repeat|Repeat|Повторить|повторити
frontend.views.order.repeat_two|Repeat order|Повторить заказ|повторити замовлення
frontend.views.layouts.header.repeat_learning|Repeat training|Повторить обучение|повторити навчання
frontend.views.site.invite_vendors_two|Add suppliers|Подключайте поставщиков|підключайте постачальників
Подключение|Connectivity|Подключение|підключення
franchise.views.organization.org_info|Companies added by you and the related information|Подключенные Вами организации и информация о них|Підключення Вами організації та інформація про них
franchise.views.organization.plugged_vendors|Suppliers added by you and related information|Подключенные Вами поставщики и информация о них|Підключення Вами постачальники і інформація про них
franchise.views.organization.rest_info|Restaurants added by you and the related information|Подключенные Вами рестораны и информация о них|Підключення Вами ресторани і інформація про них
franchise.views.layouts.plug_in|Get into franchising on HoReCa automation with return in 3,100,000 RUB/year from 150,000 RUB in the city of residence|Подключись к франшизе по автоматизации HoReCa с прибылью 3 100 000 руб./год от 150 000 рублей в своем городе|Підключись до франшизі по автоматизації HoReCa з прибутком 3 100 000 руб. / Рік від 150 000 рублів в своєму місті
frontend.views.request.wait|Wait…|Подождите...|Зачекайте ...
frontend.controllers.vendor.subscr_two|Signed|Подписан|підписано
common.models.subscriber|Signer|Подписант|підписант
franchise.views.organization.subscriber_two|Signer:|Подписант:|підписант:
frontend.views.order.signature|Signature|Подпись|підпис
Подпись:|Signature:|Подпись:|підпис:
frontend.views.site.full_anal|Detailed analytics |Подробная аналитика|Детальна аналітика
frontend.views.site.form_report|Detailed analytics enables you to know how much and where you purchased. Generate and unload detailed reports. |Подробная аналитика позволит знать, что, сколько и у кого вы закупаете. Формировать и выгружать подробные отчеты.|Детальна аналітика дозволить знати, що, скільки і у кого ви купуєте. Формувати і вивантажувати докладні звіти.
frontend.views.order.details|Details|Подробности|подробиці
frontend.views.order.product_details|Product details|Подробности о товаре|Подробиці про товар
подсолнечное масло|Sunflower oil|Подсолнечное масло|Соняшникова олія
common.models.confirm|Please confirm account on MixCart|Подтвердите аккаунт на MixCart|Підтвердіть аккаунт на MixCart
Подтвердите удаление!|Confirm the deletion!|Подтвердите удаление!|Підтвердіть видалення!
market.views.site.main.confirm|To confirm|Подтвердить|підтвердити
frontend.views.order.confirming|Confirming|Подтверждаем...|Підтверджуємо ...
frontend.views.vendor.accepted|Confirm|Подтвержден|підтверджено
frontend.views.client.supp.accepted|Confirmed / Unauthorized|Подтвержден / Не авторизован|Підтверджено / Чи не авторизований
common.models.user.confirm.|Confirmation|Подтверждение|підтвердження
common.models.plefse_phone|Please enter phone number|Пожалуйста, введите номер телефона|Будь ласка, введіть номер телефону
common.models.fill_phone|Please enter your phone number|Пожалуйста, введите свой номер телефона|Будь ласка, введіть свій номер телефону
Пожалуйста, напишите название организации|Please write the name of the organization|Пожалуйста, напишите название организации|Будь ласка, напишіть назву організації
common.models.please|Please write how would you want me to call you?|Пожалуйста, напишите, как к вам обращаться|Будь ласка, напишіть, як до вас звертатися
frontend.excel.please|Please pay attention to the comments to the goods. It is important!|Пожалуйста, обратите внимание на комментарии к товарам. Это важно!|Будь ласка, зверніть увагу на коментарі до товарів. Це важливо!
frontend.controllers.client.please|Please try to save again|Пожалуйста, повторите попытку сохранения|Будь ласка, спробуйте ще раз збереження
frontend.controllers.vendor.congr|Congratulations!|Поздравляем!|Вітаємо!
frontend.views.client.anal.positions|Items|Позиций|позицій
market.views.site.main.search|Search|Поиск|Пошук
frontend.views.client.dashboard.search|Search at MixMarket|Поиск на MixMarket|Пошук на MixMarket
frontend.views.order.guides.templ_search|Search in the set template|Поиск по набранному шаблону|Пошук по набраному шаблоном
frontend.views.order.guides.search|Search by name|Поиск по названию|Пошук по назві
frontend.views.order.guides.products_search|Search by product of the selected supplier|Поиск по продуктам выбранного поставщика|Пошук по продуктам обраного постачальника
market.views.layouts.header.search|Search for products and suppliers|Поиск товаров и поставщиков|Пошук товарів і постачальників
franchise.views.site.request.no_one_offer_yet|There is no proposal yet|Пока нет ни одного предложения|Поки немає жодної пропозиції
frontend.views.request.showed_two|Shown|Показано|показано
market.views.site.supplier.show_email|Show e-mail|Показать E-mail|Показати E-mail
market.views.site.supp.more|Show again|Показать еще|показати ще
market.views.site.supplier.show_phone|Show phone number|Показать телефон|Показати телефон
franchise.views.catalog.show_price_in_market|Show price in F-MARKET|Показывать цену в F-MARKET|Показувати ціну в F-MARKET
frontend.views.vendor.show_price|Show price on MixMarket|Показывать цену в MixMarket|Показувати ціну в MixMarket
common.models.field_two|Remark field|Поле для заметок|Поле для нотаток
franchise.views.organization.field_two|Remark field|Поле для заметок:|Поле для нотаток:
common.components.sms.empty|"""Сonsignee"" field cannot be blank"|Поле получатель не может быть пустым. |Поле одержувач не може бути порожнім.
Полинезия||Полинезия|Полінезія
Полуфабрикаты и консервы из морепродуктов|Semi-finished and canned seafood|Полуфабрикаты и консервы из морепродуктов|Напівфабрикати і консерви з морепродуктів
Полуфабрикаты и консервы из мяса|Semi-finished and canned meat|Полуфабрикаты и консервы из мяса|Напівфабрикати і консерви з м'яса
Полуфабрикаты и консервы из овощей|Semi-finished and canned vegetables|Полуфабрикаты и консервы из овощей|Напівфабрикати і консерви з овочів
Полуфабрикаты и консервы из птицы|Semi-finished and canned poultry|Полуфабрикаты и консервы из птицы|Напівфабрикати і консерви з птиці
Полуфабрикаты и консервы из рыбы|Semi-finished and canned fish|Полуфабрикаты и консервы из рыбы|Напівфабрикати і консерви з риби
Полуфабрикаты и консервы из фруктов|Semi-finished and canned fruits|Полуфабрикаты и консервы из фруктов|Напівфабрикати і консерви з фруктів
frontend.views.order.receiving|Receiving...|Получаем...|Отримуємо ...
common.models.reciever|Consignee|Получатель|одержувач
frontend.views.settings.notify_receive_email|Receive email, if the request for cooperation is directed to the mail not to me, but to my employee|Получать email, если запрос на сотрудничество направлен на почту не мне, а моему работнику|Отримувати email, якщо запит на співпрацю спрямований на пошту не мені, а моєму працівнику
frontend.views.order.receive|Receive |Получить|отримати
Пользователь добавлен!|User is added!|Пользователь добавлен!|Користувач доданий!
Пользователь обновлен!|User updated!|Пользователь обновлен!|Користувач оновлено!
common.models.already_exists|User with such email is working in MixCart, please contact him for cooperation!|Пользователь с таким Email уже работает в системе MixCart, пожалуйста, свяжитесь с ним для сотрудничества!|Користувач з таким Email вже працює в системі MixCart, будь ласка, зв'яжіться з ним для співпраці!
frontend.controllers.vendor.user_added|The user is deleted!|Пользователь удален!|Користувача видалено!
Польша|Poland|Польша|Польща
frontend.views.layouts.header.check_as_read_two|Mark as read|Пометить как прочитанные|Помітити як прочитані
frontend.views.request.tomatos_two| Azerbaijani tomato|Помидоры Азербайджанские|помідори Азербайджанські
franchise.views.site.clients_helper|Regional customer assistant|Помошник клиентов в регионе|Помошник клієнтів в регіоні
frontend.views.order.var15|Try again|Попробуйте еще раз|спробуйте ще раз
market.views.site.index.popular|Popular products|Популярные товары|Популярні товари
Португалия|Portugal|Португалия|Португалія
Португальская Республика||Португальская Республика|португальська Республіка
Порционное|A la carte|Порционное|порційне
frontend.views.guides.sort_by_time_asc|Order of adding in ascending order|Порядку добавления по возрастанию|Порядку додавання зростаючий
frontend.views.guides.sort_by_time_desc|Order of adding in descending order|Порядку добавления по убыванию|Порядку додавання зменшується
frontend.views.site.after_register|"On completion of registration, go to ""Settings"", fill in information about you and your company, product shipment days, choose regions for delivery."|"После регистрации перейдите в раздел ""настройки"", введите информацию о себе и своей компании, дни отгрузки продуктов, выберите регионы в которые, поставляете."|"Після реєстрації перейдіть в розділ ""настройки"", введіть інформацію про себе та свою компанію, дні відвантаження товарів, виберіть регіони в які ставите."
frontend.views.vendor.last_order|The latest order|Последний заказ|останнє замовлення
Поставщик|Supplier|Поставщик|Постачальник
frontend.controllers.client.vendor_two|Supplier|Поставщик |Постачальник
sms.changed_catalog|Supplier changed a catalogue for you at mix-cart.com|Поставщик {vendor_name} изменил для вас каталог на mixcart.ru|Постачальник {vendor_name} змінив для вас каталог на mixcart.ru
sms.designated_catalog|Supplier assigned a catalogue for you at mix-cart.com|Поставщик {vendor_name} назначил для вас каталог на mixcart.ru|Постачальник {vendor_name} призначив для вас каталог на mixcart.ru
frontend.views.client.suppliers.var14|Supplier will be deleted from your List of Suppliers|Поставщик будет удален из Вашего списка поставщиков|Постачальник буде видалений з Вашого списку постачальників
frontend.views.request.vendor_added|Supplier is added|Поставщик добавлен|Постачальник доданий
frontend.views.client.add.var5|Supplier was added!|Поставщик добавлен!|Постачальник доданий!
common.models.vendor_not_auth|Supplier has not been authorized yet / add catalogue|Поставщик еще не авторизован / добавляем каталог|Постачальник ще не авторизований / додаємо каталог
market.controllers.site.vendor_empty|Supplier has not still added his products to the market platform MixCart|Поставщик еще не добавил свои товары на торговую площадку MixCart|Постачальник ще не додав свої товари на торговельний майданчик MixCart
franchise.views.finance.vendors_to_me_two|Supplier to me|Поставщик мне|Постачальник мені
market.controllers.site.no_such_vendor|Supplier is not found!|Поставщик не найден!|Постачальник не знайдений!
frontend.views.client.add.var|Supplier has been already added!|Поставщик уже добавлен!|Постачальник вже доданий!
common.models.already_register|Supplier has been registered in the system. You can add the supplier clicking<strong>Invite</strong>|Поставщик уже зарегистрирован в системе, Вы можете его добавить нажав кнопку <strong>Пригласить</strong>|Постачальник вже зареєстрований в системі, Ви можете його додати натиснувши кнопку <strong> Запросити </ strong>
frontend.views.order.vendor_two|Supplier:|Поставщик:|Постачальник:
frontend.views.site.for_vendors_three|For suppliers|Поставщикам|постачальникам
market.views.site.supp.vendors|Suppliers|Поставщики|постачальники
franchise.views.organization.vendor_six|Suppliers|Поставщики - |постачальники -
franchise.views.finance.vendors_to_me|Suppliers to me|Поставщики Мне|постачальники Мені
franchise.views.site.vendors_to_me|Suppliers to Me|Поставщики Мне:|Постачальники Мені:
market.views.site.main.vendors|of suppliers|Поставщиков|постачальників
franchise.views.site.vendors|Suppliers|Поставщиков:|постачальників:
frontend.views.request.send_to_vendor|Cooperation offer will be sent to the supplier. |Поставщику будет отправлено приглашение к сотрудничеству|Постачальнику потрібно надіслати запрошення до співпраці
sms.order_new|New order from {name}:|Поступил новый заказ от {name}:|Надійшов новий замовлення від {name}:
Посуда|Dishware|Посуда|Посуд
frontend.views.site.post|Mail|Почта|Пошта
franchise.views.organization.price_lists|Supplier price list:|Прайс-листы поставщика|Прайс-листи постачальника
franchise.views.organization.under_text|"You can edit suppliers price list by entering into supplier's account. After you click button ""Go to the Company’s online area under your personal account"" you should fill in your own login and password and you will be redirected into supplier's account.<br><br>                         If the button is inactive then it means that supplier restricted franchisee from entering into his account."|"Прайс-листы поставщика вы можете отредактировать, зайдя в личный кабинет клиента по кнопке ""Перейти в ЛК организации под своей учеткой"".
<br/><br/>
После ее нажатия откроется новая вкладка и вам надо будет ввести свой логин и пароль.
<br/><br/>
Далее откроется личный кабинет клиента. Если кнопка неактивна, значит клиент запретил доступ для франчайзи."|"Прайс-листи постачальника ви можете відредагувати, зайшовши в особистий кабінет клієнта по кнопці ""Перейти в ЛК організації під своїм учеткой"". <br/> <br/>Після її натискання відкриється нова вкладка і вам треба буде ввести свій логін і пароль.<br/> <br/>Далі відкриється особистий кабінет клієнта. Якщо кнопка неактивна, значить клієнт заборонив доступ для франчайзі."
frontend.views.site.prices_and_cat|Prices and catalogues|Прайсы и каталоги|Прайси та каталоги
frontend.views.request.vendors_offers_two|Offers from suppliers|Предложений от поставщиков|Пропозицій від постачальників
franchise.views.site.request.vendors_offers|Suppliers proposals|Предложения поставщиков|пропозиції постачальників
frontend.views.request.offer|Offer price for your request! Find new, honest partners for your business!|Предложите свою цену заявки! Находите новых, честных партнеров для своего бизнеса!|Запропонуйте свою ціну заявки! Знаходьте нових, чесних партнерів для свого бізнесу!
frontend.views.request.service|Offer your services|Предложить свои услуги|Запропонувати свої послуги
Предприниматель|Entrepreneur|Предприниматель|Підприємець
franchise.views.site.presentations|Presentations|Презентации|презентації
franchise.views.site.semi|Presentations_mixcart_seminar_102017.tar.gz|Презентации_mixcart_семинар_102017.tar.gz|Презентаціі_mixcart_семінар_102017.tar.gz
franchise.views.site.vendor_present|Presentation for suppliers|Презентация для поставщиков|Презентація для постачальників
franchise.views.site.rest_present|Presentation for restaurants|Презентация для ресторанов|Презентація для ресторанів
common.mail.accept_restaurant_invite.sending_email|"Sending this letter automatically created account for you in <a href=""https://mixcart.ru"" style=""color: #84bf76;"">MixCart</a>, please confirm the receipt of the invitation by clicking I acknowledge receipt of the invitation."|"При отправке этого письма, автоматически был создан аккаунт для вас в <a href=""https://mixcart.ru"" style=""color: #84bf76;"">MixCart</a>, подтвердите пожалуйста получение данного приглашения, перейдя подтверждаю получение приглашения"|"При відправці цього листа, автоматично був створений акаунт для вас в <a href=""https://mixcart.ru"" style=""color: #84bf76;""> MixCart </a>, підтвердіть будь ласка отримання даного запрошення, перейшовши підтверджую отримання запрошення"
api.common.mail.confirm_email.greetings|Welcome|Приветствую,|Вітаю,
api.modules.v1.modules.mobile.components.notifications.greetings|Welcome|Приветствую, |Вітаю,
frontend.views.layouts.left.invite_partners|Invite partners and friends|Пригласите партнеров и друзей|Запросіть партнерів і друзів
frontend.views.client.suppliers.invite|Invite|Пригласить|Запросити
frontend.views.vendor.invite_client|Invite customer|Пригласить клиента|Запросити клієнта
frontend.views.client.add.invite_vendor|Invite Supplier|Пригласить поставщика|Запросити постачальника
frontend.views.client.supp.inviting|Inviting….|Приглашаем...|Запрошуємо ...
frontend.views.layouts.header.var1|Invitation in MixCart|Приглашение на MixCart|Запрошення на MixCart
frontend.views.request.inv_sent|Invitation is sent!|Приглашение отправлено!|Запрошення відправлено!
frontend.views.client.suppliers.sent|Invitation<br>was sent|Приглашение<br>отправлено|Запрошення <br> відправлено
frontend.views.vendor.examples|MixCart system operation examples  |Примеры работы с системой MixCart|Приклади роботи з системою MixCart
common.models.additional_email.ready.accepted_two|Request is accepting|Принятие заявки|ухвалення заявки
frontend.views.order.accept|Accept |Принять|прийняти
common.mail.friend_invite.accept|Accept invitation|Принять приглашение|Прийняти запрошення
common.models.forms.service_desk.priority|Priority|Приоритет|пріоритет
frontend.views.site.join_us|Join us, we will be glad to see you among our clients. You can rely on us. |Присоединяйтесь, мы будем рады видеть вас в числе наших клиентов. Вы можете рассчитывать на нас.|Приєднуйтесь, ми будемо раді бачити вас в числі наших клієнтів. Ви можете розраховувати на нас.
